"doi","colour charge","cover charge","page charge","permission","reprint","submission fee","payment fee","other"
"10.1002/vzj2.20218",NA,NA,1196.5,NA,NA,NA,NA,NA
"10.3390/molecules27030768",NA,NA,NA,NA,356.25,NA,NA,NA
"10.1109/tci.2022.3218993",NA,NA,1301.96,NA,NA,NA,NA,NA
"10.1109/tte.2021.3104105",NA,NA,1517.7,NA,NA,NA,NA,NA
"10.1088/1741-4326/ac4776",NA,NA,2106.79,NA,NA,NA,NA,NA
"10.1016/j.atmosenv.2021.118842",596.17,NA,NA,NA,NA,NA,NA,NA
"10.1186/s12966-022-01343-8",NA,NA,NA,NA,NA,NA,NA,65.45
"10.1177/20539517221089305",NA,NA,NA,NA,NA,NA,NA,33.75
"10.2196/37820",NA,NA,NA,NA,NA,NA,NA,410.92
"10.2196/37729",NA,NA,NA,NA,NA,NA,NA,414.86
"10.1177/20552076221091353",NA,NA,NA,NA,NA,NA,NA,28.41
"10.1177/20417314221091033",NA,NA,NA,NA,NA,NA,NA,28.41
"10.1177/17562864221101083",NA,NA,NA,NA,NA,NA,NA,28.46
"10.1177/20552076221129072",NA,NA,NA,NA,NA,NA,NA,27.33
"10.1128/spectrum.02400-21",NA,NA,NA,NA,NA,NA,NA,373.39
"10.1128/spectrum.01229-22",NA,NA,NA,NA,NA,NA,NA,270.24
"10.1155/2022/6888399",NA,NA,NA,NA,NA,NA,NA,20
"10.3389/feart.2022.824656",NA,NA,NA,NA,NA,NA,NA,117.72
"10.3389/fmats.2022.831443",NA,NA,NA,NA,NA,NA,NA,20
"10.3389/fnut.2022.785999",NA,NA,NA,NA,NA,NA,NA,102.48
"10.3389/fmicb.2022.852036",NA,NA,NA,NA,NA,NA,NA,110.02
"10.3389/feart.2022.886006",NA,NA,NA,NA,NA,NA,NA,141.3
"10.3389/fbuil.2022.908698",NA,NA,NA,NA,NA,NA,NA,48.86
"10.1371/journal.pone.0271400",NA,NA,NA,NA,NA,NA,NA,58.81
"10.3389/fbuil.2022.877378",NA,NA,NA,NA,NA,NA,NA,98.13
"10.1155/2023/6381319",NA,NA,NA,NA,NA,NA,NA,20
"10.3847/2041-8213/ac78de",NA,NA,NA,NA,NA,NA,NA,115.25
"10.3389/fsens.2022.974895",NA,NA,NA,NA,NA,NA,NA,59.91
"10.5751/es-13268-270307",NA,NA,758.3,NA,NA,NA,NA,NA
"10.1016/j.crmeth.2022.100165",NA,NA,NA,NA,NA,NA,NA,642
"10.1186/s13362-021-00118-3",NA,NA,NA,NA,NA,NA,NA,65.45
"10.2196/34388",NA,NA,NA,NA,NA,NA,NA,161.88
"10.1364/ome.5.000748",NA,NA,NA,NA,NA,NA,NA,32.73
"10.1016/j.nima.2016.02.080",1960,NA,NA,NA,NA,NA,NA,NA
"10.1002/adfm.201603191",1495,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.24.025582",NA,NA,1483.36,NA,NA,NA,NA,NA
"10.1364/oe.25.003052",NA,NA,NA,NA,NA,NA,NA,17.75
"10.1364/oe.25.010984",NA,NA,NA,NA,NA,NA,NA,17.46
"10.1364/oe.25.015760",NA,NA,NA,NA,NA,NA,NA,31.44
"10.1364/oe.25.031640",NA,NA,NA,NA,NA,NA,NA,29.36
"10.1364/oe.26.001237",NA,NA,242.91,NA,NA,NA,NA,18.7
"10.1364/oe.26.003684",NA,NA,NA,NA,NA,NA,NA,15.64
"10.1364/oe.26.006427",NA,NA,NA,NA,NA,NA,NA,15.85
"10.1364/optica.5.000450",NA,NA,NA,NA,NA,NA,NA,20.47
"10.1021/acs.jpclett.8b00720",NA,NA,NA,NA,NA,NA,NA,42.95
"10.1364/oe.26.016955",NA,NA,NA,NA,NA,NA,NA,16.76
"10.1364/oe.26.029744",NA,NA,1148.43,NA,NA,NA,NA,28.57
"10.1364/oe.27.006580",NA,NA,257.79,NA,NA,NA,NA,20.18
"10.1364/oe.27.007120",NA,NA,384.05,NA,NA,NA,NA,21.32
"10.1063/1.5080428",NA,NA,NA,NA,NA,NA,NA,19.48
"10.1364/oe.27.008639",NA,NA,NA,NA,NA,NA,NA,22.1
"10.1364/oe.27.009144",NA,NA,NA,NA,NA,NA,NA,17.53
"10.1364/oe.27.011037",NA,NA,NA,NA,NA,NA,NA,22.84
"10.3847/2041-8213/ab1267",128,NA,528.04,NA,NA,NA,NA,42.63
"10.1364/oe.27.013479",NA,NA,NA,NA,NA,NA,NA,17.81
"10.1364/oe.27.019254",NA,NA,NA,NA,NA,NA,NA,31.12
"10.1364/ol.44.002157",NA,NA,NA,NA,NA,NA,NA,17.76
"10.1364/ome.9.003352",NA,NA,258.03,NA,NA,NA,NA,16.48
"10.1107/s205225251900914x",NA,NA,NA,NA,NA,NA,NA,13.18
"10.1364/oe.27.026547",NA,NA,NA,NA,NA,NA,NA,25.78
"10.1364/oe.27.026979",NA,NA,NA,NA,NA,NA,NA,17.97
"10.1364/oe.27.036580",NA,NA,NA,NA,NA,NA,NA,17.95
"10.1364/oe.27.036562",NA,NA,263.67,NA,NA,NA,NA,20.64
"10.1364/osac.2.003547",NA,NA,NA,NA,NA,NA,NA,9.95
