institution,institution_cubes_name,institution_full_name,continent,country,state,openapc_data_dir,ror_id,institution_type,institution_group,info_url,comment
Bamberg U,bamberg_u,Bamberg University,EUROPE,DEU,BY,unibamberg,https://ror.org/01c1w6d29,HEI,NA,https://www.uni-bamberg.de/en/library/publishing/oa-publishing/,NA
Bielefeld U,bielefeld_u,Bielefeld University,EUROPE,DEU,NW,unibi,https://ror.org/02hpadn98,HEI,NA,http://oa.uni-bielefeld.de/publikationsfonds.html,NA
Duisburg-Essen U,duisburg_essen_u,University of Duisburg-Essen,EUROPE,DEU,NW,unidue,https://ror.org/04mz5ra38,HEI,NA,NA,NA
FU Berlin,fu_berlin,Freie Universität Berlin,EUROPE,DEU,BE,fuberlin,https://ror.org/046ak2485,HEI,NA,http://www.fu-berlin.de/sites/open_access/finanzierung/publikationsfonds/index.html,NA
GFZ-Potsdam,gfz_potsdam,GFZ German Research Centre for Geosciences,EUROPE,DEU,BB,gfz-potsdam,https://ror.org/04z8jg394,INS,HGF,https://www.gfz-potsdam.de/en/home/,data provided by the [Library Wissenschaftspark Albert Einstein](http://bib.telegrafenberg.de/en/publishing/open-access/)
Konstanz U,konstanz_u,University of Konstanz,EUROPE,DEU,BW,unikonstanz,https://ror.org/0546hnb39,HEI,NA,https://www.kim.uni-konstanz.de/en/openscience/publishing-and-open-access/funding-open-access/,NA
Leipzig U,leipzig_u,Leipzig University,EUROPE,DEU,SN,unileipzig,https://ror.org/03s7gtk40,HEI,NA,https://www.ub.uni-leipzig.de/open-science/publikationsfonds/,NA
MPG,mpg,Max Planck Digital Library,EUROPE,DEU,BY,mpg,https://ror.org/0061msm67,INS,MPG,http://www.mpdl.mpg.de/21-specials/50-open-access-publishing.html,The data content covers APCs as paid for by the central budget for the Max Planck Society (MPS). APCs funded locally by Max Planck Institutes are not part of the data. The MPS has a limited input tax reduction. The refund of input VAT for APC is 20%. Until the end of 2007 the MPS was VAT exempt.
Regensburg U,regensburg_u,University of Regensburg,EUROPE,DEU,BY,unireg,https://ror.org/01eezs655,HEI,NA,http://oa.uni-regensburg.de/,NA
TU Clausthal,tu_clausthal,Clausthal University of Technology,EUROPE,DEU,NI,tuclausthal,https://ror.org/04qb8nc58,HEI,NA,https://www.ub.tu-clausthal.de/publizieren-open-access/open-access-publizieren/publikationsfonds,NA
Muenchen LMU,muenchen_lmu,Ludwig-Maximilians-Universität München,EUROPE,DEU,BY,lmu,https://ror.org/05591te55,HEI,NA,http://www.en.ub.uni-muenchen.de/writing/open-access-publishing/funding/index.html,NA
Goettingen U,goettingen_u,University of Göttingen,EUROPE,DEU,NI,unigoettingen,https://ror.org/01y9bpm73,HEI,NA,http://www.sub.uni-goettingen.de/en/electronic-publishing/open-access/open-access-publication-funding/,NA
Heidelberg U,heidelberg_u,Heidelberg University,EUROPE,DEU,BW,uniheidelberg,https://ror.org/038t36y30,HEI,NA,http://www.ub.uni-heidelberg.de/Englisch/service/openaccess/publikationsfonds.html,NA
Hamburg TUHH,hamburg_tuhh,Hamburg University of Technology,EUROPE,DEU,HH,tuhh,https://ror.org/04bs1pb34,HEI,NA,https://www.tub.tu-harburg.de/publizieren/openaccess/,NA
Bayreuth U,bayreuth_u,Bayreuth University,EUROPE,DEU,BY,unibayreuth,https://ror.org/0234wmv40,HEI,NA,http://www.ub.uni-bayreuth.de/en/digitale_bibliothek/open_access/index.html,NA
KIT,kit,KIT Karlsruhe,EUROPE,DEU,BW,kit,https://ror.org/04t3en479,INS,HGF,http://www.bibliothek.kit.edu/cms/kit-publikationsfonds.php,NA
INM - Leibniz-Institut für Neue Materialien,inm,INM - Leibniz Institute for New Materials,EUROPE,DEU,SL,leibniz-INM,https://ror.org/00g656d67,INS,WGL,https://www.ntnm-bib.de/open-access/publikationsfonds/,NA
