"doi","cover","colour_charges","page_charges","other","permission","publication_charges","reprint","submission_fee"
"10.1021/am507727f",NA,NA,NA,NA,NA,NA,NA,NA
"10.1103/physrevx.5.011015",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/ome.5.000748",NA,NA,NA,"32.73",NA,NA,NA,NA
"10.1107/s1600577515005937",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600577515005524",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.24.006507",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/srep18068",NA,NA,NA,NA,NA,NA,NA,NA
"10.1021/acsami.5b02901",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600577515022997",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600577515023127",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600577515022675",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s2052252514024269",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/srep22767",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.nima.2016.02.080",NA,1960,NA,NA,NA,NA,NA,NA
"10.1088/2040-8978/18/6/064007",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600576716007469",NA,NA,NA,NA,NA,NA,NA,NA
"10.1063/1.4958887",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/optica.3.000816",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.24.015328",NA,NA,NA,NA,NA,NA,NA,NA
"10.1088/1367-2630/18/7/073009",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600576716006348",NA,NA,NA,NA,NA,NA,NA,NA
"10.1063/1.4960389",NA,NA,NA,NA,NA,NA,NA,NA
"10.1088/1367-2630/18/6/062002",NA,NA,NA,NA,NA,NA,NA,NA
"10.1088/0953-4075/49/16/165003",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600576716004751",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.24.021059",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/app6090238",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/adfm.201603191",NA,1495,NA,NA,NA,NA,NA,NA
"10.1364/oe.24.021752",NA,NA,NA,NA,NA,NA,NA,NA
"10.4236/jmp.2016.79088",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.24.025169",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.24.025582",NA,NA,"1483.36",NA,NA,NA,NA,NA
"10.1364/optica.3.001209",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/ncomms10964",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.24.029237",NA,NA,NA,NA,NA,NA,NA,NA
"10.1088/1367-2630/18/11/113055",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/lsa.2016.187",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.25.003052",NA,NA,NA,"17.75",NA,NA,NA,NA
"10.1080/15421406.2017.1289582",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.25.006822",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/srep44628",NA,NA,NA,NA,NA,NA,NA,NA
"10.1088/1367-2630/aa652d",NA,NA,NA,NA,NA,NA,NA,NA
"10.1039/c7sm00343a",NA,NA,NA,NA,NA,NA,NA,NA
"10.1088/1367-2630/aa660a",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.25.010984",NA,NA,NA,"17.46",NA,NA,NA,NA
"10.1038/ncomms15626",NA,NA,NA,NA,NA,NA,NA,NA
"10.1109/jstqe.2016.2614676",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/app7060544",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.25.015760",NA,NA,NA,"31.44",NA,NA,NA,NA
"10.1107/s160057671700749x",NA,NA,NA,NA,NA,NA,NA,NA
"10.1088/1748-0221/12/07/p07006",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41598-017-05120-7",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s2052252517010612",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s2052252517013124",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600577517011961",NA,NA,NA,NA,NA,NA,NA,NA
"10.1088/1361-6404/aa87d4",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41467-017-01417-3",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s160057751701253x",NA,NA,NA,NA,NA,NA,NA,NA
"10.1063/1.5004482",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/lsa.2017.162",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600577517013066",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.25.031640",NA,NA,NA,"29.36",NA,NA,NA,NA
"10.1107/s1600577517015442",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600577517015272",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600577517013893",NA,NA,NA,NA,NA,NA,NA,NA
"10.1088/1361-6455/aa9737",NA,NA,NA,NA,NA,NA,NA,NA
"10.1103/physrevx.7.041046",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.26.001237",NA,NA,"242.91","18.7",NA,NA,NA,NA
"10.1017/hpl.2018.5",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.nima.2017.12.040",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41598-018-19793-1",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600576717018131",NA,NA,NA,NA,NA,NA,NA,NA
"10.1103/physreva.97.033401",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.26.003684",NA,NA,NA,"15.64",NA,NA,NA,NA
"10.3390/app8030318",NA,NA,NA,NA,NA,NA,NA,NA
"10.1093/mnras/sty285",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/app8030333",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.26.006427",NA,NA,NA,"15.85",NA,NA,NA,NA
"10.1051/0004-6361/201731337",NA,NA,NA,NA,NA,NA,NA,NA
"10.1103/physrevlett.120.144802",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41598-018-23632-8",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s2052252518005407",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/optica.5.000450",NA,NA,NA,"20.47",NA,NA,NA,NA
"10.1038/s41467-018-04116-9",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41467-018-04178-9",NA,NA,NA,NA,NA,NA,NA,NA
"10.1021/acs.jpclett.8b00720",NA,NA,NA,"42.95",NA,NA,NA,NA
"10.1107/s2052252518008369",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.26.016955",NA,NA,NA,"16.76",NA,NA,NA,NA
"10.1038/s41598-018-29022-4",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41598-018-30348-2",NA,NA,NA,NA,NA,NA,NA,NA
"10.1109/jstqe.2018.2864193",NA,NA,NA,NA,NA,NA,NA,NA
"10.1051/0004-6361/201832731",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600577518008585",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s205225251801120x",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41467-018-06156-7",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41467-018-06743-8",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s2052252518013696",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41467-018-07265-z",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.26.029744",NA,NA,"1148.43","28.57",NA,NA,NA,NA
"10.1016/j.astropartphys.2018.10.007",NA,NA,NA,NA,NA,NA,NA,NA
"10.1088/1361-648x/aaedf3",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41598-019-38556-0",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s2053273318015395",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s2052252519000514",NA,NA,NA,NA,NA,NA,NA,NA
"10.1063/1.5068753",NA,NA,NA,NA,NA,NA,NA,NA
"10.1063/1.5086374",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600577518016077",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.27.006580",NA,NA,"257.79","20.18",NA,NA,NA,NA
"10.1364/ol.44.001308",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.27.007120",NA,NA,"384.05","21.32",NA,NA,NA,NA
"10.1063/1.5080428",NA,NA,NA,"19.48",NA,NA,NA,NA
"10.1038/s41598-019-41130-3",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41467-019-09328-1",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.27.008639",NA,NA,NA,"22.1",NA,NA,NA,NA
"10.1364/oe.27.009144",NA,NA,NA,"17.53",NA,NA,NA,NA
"10.1063/1.5089496",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/app9071350",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.27.011037",NA,NA,NA,"22.84",NA,NA,NA,NA
"10.3791/60001",NA,NA,NA,NA,NA,NA,NA,NA
"10.3847/2041-8213/ab1267",NA,128,"528.04","42.63",NA,NA,NA,NA
"10.1364/oe.27.013479",NA,NA,NA,"17.81",NA,NA,NA,NA
"10.1107/s1600577519003412",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600577519004570",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s2052252519007395",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41467-019-10589-z",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600577519005174",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.27.019254",NA,NA,NA,"31.12",NA,NA,NA,NA
"10.1021/acs.macromol.9b00531",NA,NA,NA,NA,NA,NA,NA,NA
"10.1088/1748-0221/14/06/p06021",NA,NA,NA,NA,NA,NA,NA,NA
"10.1088/1367-2630/ab2a98",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/optica.6.000872",NA,NA,NA,NA,NA,NA,NA,NA
"10.1039/c9cp02864a",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41467-019-11122-y",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/ol.44.002157",NA,NA,NA,"17.76",NA,NA,NA,NA
"10.1109/tns.2019.2927421",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/ome.9.003352",NA,NA,"258.03","16.48",NA,NA,NA,NA
"10.1038/s42004-019-0197-1",NA,NA,NA,NA,NA,NA,NA,NA
"10.3847/1538-4357/ab2f89",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s205225251900914x",NA,NA,NA,"13.18",NA,NA,NA,NA
"10.1364/oe.27.026547",NA,NA,NA,"25.78",NA,NA,NA,NA
"10.1088/1367-2630/ab34e8",NA,NA,NA,NA,NA,NA,NA,NA
"10.1039/c9re00191c",NA,NA,NA,NA,NA,NA,NA,NA
"10.3390/biom9080371",NA,NA,NA,NA,NA,NA,NA,NA
"10.1107/s1600577519007835",NA,NA,NA,NA,NA,NA,NA,NA
"10.1039/c9cp03593a",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.27.026979",NA,NA,NA,"17.97",NA,NA,NA,NA
"10.1088/1475-7516/2019/11/007",NA,NA,NA,NA,NA,NA,NA,NA
"10.1039/c9ra04293h",NA,NA,NA,NA,NA,NA,NA,NA
"10.1021/acsanm.9b00764",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41598-019-53887-8",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.27.036580",NA,NA,NA,"17.95",NA,NA,NA,NA
"10.1364/oe.27.036562",NA,NA,"263.67","20.64",NA,NA,NA,NA
"10.3390/nano9091249",NA,NA,NA,NA,NA,NA,NA,NA
"10.1063/1.5124387",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41377-019-0233-z",NA,NA,NA,NA,NA,NA,NA,NA
"10.1063/1.5118777",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41598-019-56433-8",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/osac.2.003547",NA,NA,NA,"9.95",NA,NA,NA,NA
"10.1364/josab.380140",NA,NA,NA,"10.78",NA,NA,NA,NA
"10.1038/s41598-020-58318-7",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/oe.384968",NA,NA,NA,"16.01",NA,NA,NA,NA
"10.1364/oe.384290",NA,NA,NA,"17.88",NA,NA,NA,NA
"10.1063/1.5143258",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41598-020-61926-y",NA,NA,NA,NA,NA,NA,NA,NA
"10.1063/1.5129532",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/ol.390291",NA,NA,NA,"18.61",NA,NA,NA,NA
"10.1038/s41598-020-64101-5",NA,NA,NA,NA,NA,NA,NA,NA
"10.1063/4.0000004",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41467-020-16270-0",NA,NA,NA,NA,NA,NA,NA,NA
"10.1142/s0217732320500790",NA,NA,NA,NA,NA,NA,NA,NA
"10.1364/josab.389548",NA,NA,"830.95","39.89",NA,NA,NA,NA
"10.1038/s41467-020-16547-4",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41598-020-66220-5",NA,NA,NA,NA,NA,NA,NA,NA
