Institution;Period; EURO ;DOI;is_hybrid;Publisher;Journal_full_title;Funding Programme;Note
Austrian Science Fund (FWF);2021; € 1.500,00 ;10.1126/scitranslmed.aax2693;TRUE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Translational Medicine;Peer-Reviewed Publications ;Price Cap
Austrian Science Fund (FWF);2021; € 3.391,68 ;10.1126/sciadv.abb3424;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021; € 3.945,75 ;10.1126/sciadv.aaz3666;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021; € 4.147,41 ;10.1126/sciadv.abb7118;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021; € 4.603,60 ;10.1126/sciadv.abf9134;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021; € 4.657,98 ;10.1126/sciadv.abh1434;FALSE;AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE;Science Advances;Peer-Reviewed Publications ;
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acsaelm.1c00638;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Applied Electronic Materials;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acsaem.1c02683;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Applied Energy Materials;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acsaem.1c01737;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Applied Energy Materials;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acsami.1c02931;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Applied Materials & Interfaces;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acsbiomaterials.1c00183;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Biomaterials Science & Engineering;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acscatal.1c03566;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Catalysis;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acscatal.1c02673;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Catalysis;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acscatal.1c02057;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Catalysis;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acscatal.1c01137;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Catalysis;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acscatal.1c02384;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Catalysis;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acscatal.1c02133;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Catalysis;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acscatal.1c03465;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Catalysis;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acschembio.1c00524;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Chemical Biology;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acschembio.1c00411;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Chemical Biology;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acsenergylett.1c02405;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Energy Letters;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acsmaterialslett.1c00523;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Materials Letters;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acsnano.1c05221;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Nano;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acsnano.1c05411;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Nano;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acsnano.1c03626;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Nano;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acsnano.1c07084;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Nano;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acsnano.1c06720;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Nano;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acsorginorgau.1c00025;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Organic & Inorganic;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acsphyschemau.1c00015;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Physical Chemistry ;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acssensors.1c00641;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Sensors;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acssensors.1c01369;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Sensors;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acssensors.1c01574;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Sensors;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acssuschemeng.1c04100;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Sustainable Chemistry & Engineering;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acssynbio.1c00142;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);ACS Synthetic Biology;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acs.analchem.1c01561;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);Analytical Chemistry;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acs.analchem.1c03442;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);Analytical Chemistry;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
Austrian Science Fund (FWF);2021; € 2.704,51 ;10.1021/acs.analchem.1c02199;TRUE;AMERICAN CHEMICAL SOCIETY (ACS);Analytical Chemistry;Peer-Reviewed Publications ;FWF Transformative Agreement ACS
