institution,period,euro,doi,backlist_oa
OA-Monofonds Brandenburg,2023,6000,10.33675/2023-82538608,FALSE
OA-Monofonds Brandenburg,2023,6913.27,10.1628/978-3-16-162163-5,FALSE
OA-Monofonds Brandenburg,2023,6587.84,10.17176/20230605-164334-0,FALSE
OA-Monofonds Brandenburg,2023,7140,10.14361/9783839466889,FALSE
OA-Monofonds Brandenburg,2023,5355,10.1007/978-3-658-41641-6,FALSE
OA-Monofonds Brandenburg,2023,4461.79,10.35468/6004,FALSE
OA-Monofonds Brandenburg,2023,2677.50,10.55309/c3ie61k5,FALSE
OA-Monofonds Brandenburg,2023,4581.50,10.15771/1736,FALSE
OA-Monofonds Brandenburg,2023,6664,10.14361/9783839471456,FALSE
OA-Monofonds Brandenburg,2023,7259,10.14361/9783839471623,FALSE
OA-Monofonds Brandenburg,2023,7354.20,10.14361/9783839469248,FALSE
OA-Monofonds Brandenburg,2023,4500,10.25969/mediarep/21953,FALSE
OA-Monofonds Brandenburg,2023,7000,10.1007/978-3-031-54324-1,FALSE
OA-Monofonds Brandenburg,2023,3213,10.5771/9783748919803,FALSE
OA-Monofonds Brandenburg,2023,5624.77,10.11584/ips.12,FALSE
