"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","license_ref","pmid","url","local_id"
"Bielefeld University","2017","1386","10.1038/srep41277",FALSE,"Springer Nature","Scientific Reports","2045-2322","cc_by_4_0","28120926","https://pub.uni-bielefeld.de/publication/2908228","2908228"
"Bielefeld University","2017","1540","10.1186/s12983-017-0190-4",FALSE,"Springer Nature","Frontiers in Zoology","1742-9994",NA,"28149319","https://pub.uni-bielefeld.de/publication/2908300","2908300"
"Bielefeld University","2017","1396","10.1186/s12913-017-2094-6",FALSE,"Biomed Central Ltd","BMC Health Services Research","1472-6963",NA,"28222721","https://pub.uni-bielefeld.de/publication/2909435","2909435"
"Bielefeld University","2017","350","10.3390/robotics6020009",FALSE,"MDPI","Robotics","2218-6581","cc_by_4_0",NA,"https://pub.uni-bielefeld.de/publication/2910451","2910451"
"Bielefeld University","2017","1396","10.1186/s12889-017-4267-y",FALSE,"Springer Nature","BMC Public Health","1471-2458",NA,"28441934","https://pub.uni-bielefeld.de/publication/2910893","2910893"
"Bielefeld University","2017","1396","10.1186/s12866-017-1067-6",FALSE,"Biomed Central","BMC Microbiology","1471-2180",NA,"28701150","https://pub.uni-bielefeld.de/publication/2912419","2912419"
"Bielefeld University","2017","2109","10.3389/fpsyg.2017.00871",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,NA,"https://pub.uni-bielefeld.de/publication/2912116","2912116"
"Bielefeld University","2017","1841","10.2147/ndt.s118076",FALSE,"Dove Medical Press Ltd.","Neuropsychiatric Disease and Treatment","1178-2021","cc_by_nc_3_0","28919767","https://pub.uni-bielefeld.de/publication/2913652","2913652"
"Bielefeld University","2017","1305","10.1038/s41598-017-13110-y",FALSE,"Springer Nature","Scientific Reports","2045-2322","cc_by_4_0","28993703","https://pub.uni-bielefeld.de/publication/2914441","2914441"
"Bielefeld University","2017","2109","10.3389/fpsyg.2017.02011",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078","cc_by_3_0","29201013","https://pub.uni-bielefeld.de/publication/2915052","2915052"
"Bielefeld University","2017","737","10.1080/02673843.2017.1377089",FALSE,"Taylor & Francis","International Journal of Adolescence and Youth","0267-3843",NA,NA,"https://pub.uni-bielefeld.de/publication/2914299","2914299"
"Bielefeld University","2017","424","10.31031/rism.2017.01.000507",FALSE,"Crimson Publishers","Research & Investigations in Sports Medicine",NA,NA,NA,"https://pub.uni-bielefeld.de/publication/2914655","2914655"
"Bielefeld University","2017","1396","10.1186/s12864-017-4235-z",FALSE,"Springer","BMC Genomics","1471-2164",NA,"29100491","https://pub.uni-bielefeld.de/publication/2914662","2914662"
"Bielefeld University","2017","1514","10.1371/journal.pone.0188582",FALSE,"PLOS","PLOS One","1932-6203","cc_by_4_0","29190647","https://pub.uni-bielefeld.de/publication/2915418","2915418"
"Bielefeld University","2018","1517","10.1371/journal.pone.0192647",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203","cc_by_4_0","29474358","https://pub.uni-bielefeld.de/publication/2919030","2919030"
"Bielefeld University","2018","1517","10.1371/journal.pone.0196797",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203","cc_by_4_0","29746521","https://pub.uni-bielefeld.de/publication/2919984","2919984"
"Bielefeld University","2018","1517","10.1371/journal.pone.0201516",FALSE,"PLoS","PLoS ONE","1932-6203","cc_by_4_0","30067853","https://pub.uni-bielefeld.de/publication/2930233","2930233"
"Bielefeld University","2018","1456","10.1002/ece3.4205",FALSE,"Wiley","Ecology and Evolution","2045-7758","cc_by_4_0","30073053","https://pub.uni-bielefeld.de/publication/2919845","2919845"
"Bielefeld University","2018","1630","10.1038/s41598-018-24747-8",FALSE,"Springer Nature","Scientific Reports","2045-2322","cc_by_4_0","29717144","https://pub.uni-bielefeld.de/publication/2919597","2919597"
"Bielefeld University","2018","238","10.2478/mjss-2018-0038",FALSE,"Mediterranean Center of Social and Educational Research (MCSER)","Mediterranean Journal of Social Sciences","2039-2117","cc_by_nc_nd_4_0",NA,"https://pub.uni-bielefeld.de/publication/2919100","2919100"
"Bielefeld University","2018","1517","10.1371/journal.pone.0198976",FALSE,"Public Library Science","PLOS ONE","1932-6203","cc_by_4_0","29879215","https://pub.uni-bielefeld.de/publication/2920943","2920943"
"Bielefeld University","2018","1396","10.1186/s12889-018-5926-3",FALSE,"Springer Nature America, Inc","BMC Public Health","1471-2458","cc_by_3_0","30103728","https://pub.uni-bielefeld.de/publication/2930454","2930454"
