"Period","EURO","id","reference","doi","publisher","journal","ISSN.1","ISSN.2","link"
2014,1276.00,2693877,"Zakar R, Zakar MZ, Qureshi S, Fischer F. Harnessing information technology to improve women’s health information: evidence from Pakistan. <em>BMC Women's Health</em>. 2014;14(1):105.","10.1186/1472-6874-14-105","Springer Science + Business Media","BMC Women's Health","1472-6874","NA","http://pub.uni-bielefeld.de/publication/2693877"
2014,1010.00,2685362,"Lechner M, Hernandez-Rosales M, Dörr D, et al. Orthology Detection Combining Clustering and Synteny for Very Large Datasets. <em>PLOS ONE</em>. 2014;9(8):e105015.","10.1371/journal.pone.0105015","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","http://pub.uni-bielefeld.de/publication/2685362"
2014,1240.00,2685103,"Querengässer J, Schindler S. Sad but true? - How induced emotional states differentially bias self-rated Big Five personality traits. <em>BMC Psychology</em>. 2014;2(1):14.","10.1186/2050-7283-2-14","Springer Science + Business Media","BMC Psychol","2050-7283","NA","http://pub.uni-bielefeld.de/publication/2685103"
2014,1520.00,2698093,"Iffland B, Sansen LM, Catani C, Neuner F. Rapid heartbeat, but dry palms: reactions of heart rate and skin conductance levels to social rejection. <em>Frontiers in Psychology</em>. 2014;5.","10.3389/fpsyg.2014.00956","Frontiers Media SA","Frontiers in Psychology","1664-1078","NA","http://pub.uni-bielefeld.de/publication/2698093"
2014,1520.00,2673305,"Wesselmeier H, Jansen S, Müller HM. Influences of semantic and syntactic incongruence on readiness potential in turn-end anticipation. <em>Frontiers in Human Neuroscience</em>. 2014;8(296):1–9.","10.3389/fnhum.2014.00296","Frontiers Media SA","Front. Hum. Neurosci.","1662-5161","NA","http://pub.uni-bielefeld.de/publication/2673305"
2014,912.00,2678800,"Kröber M, Wibberg D, Grosch R, et al. Effect of the strain Bacillus amyloliquefaciens FZB42 on the microbial community in the rhizosphere of lettuce under field conditions analyzed by whole metagenome sequencing. <em>Frontiers in Microbiology</em>. 2014;5.","10.3389/fmicb.2014.00252","Frontiers Media SA","Front. Microbiol.","1664-302X","NA","http://pub.uni-bielefeld.de/publication/2678800"
2014,731.50,2690049,"Staniloiu A, Woermann FG, Markowitsch HJ. Impairments in Episodic-Autobiographical Memory and Emotional and Social Information Processing in CADASIL during Mid-Adulthood. <em>Frontiers in Behavioral Neuroscience</em>. 2014;8.","10.3389/fnbeh.2014.00227","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","http://pub.uni-bielefeld.de/publication/2690049"
2014,1520.00,2668899,"Iffland B, Sansen LM, Catani C, Neuner F. The Trauma of Peer Abuse: Effects of Relational Peer Victimization and Social Anxiety Disorder on Physiological and Affective Reactions to Social Exclusion. <em>Frontiers in Psychiatry</em>. 2014;5.","10.3389/fpsyt.2014.00026","Frontiers Media SA","Front. Psychiatry","1664-0640","NA","http://pub.uni-bielefeld.de/publication/2668899"
2014,1276.00,2693889,"Reiss K, Sauzet O, Breckenkamp J, Spallek J, Razum O. How immigrants adapt their smoking behaviour: comparative analysis among Turkish immigrants in Germany and the Netherlands. <em>BMC Public Health</em>. 2014;14(1):844.","10.1186/1471-2458-14-844","Springer Science + Business Media","BMC Public Health","1471-2458","NA","http://pub.uni-bielefeld.de/publication/2693889"
2014,1042.00,2693625,"Meise K, Mueller B, Zein B, Trillmich F. Applicability of Single-Camera Photogrammetry to Determine Body Dimensions of Pinnipeds: Galapagos Sea Lions as an Example. <em>PLoS ONE</em>. 2014;9(7):e101197.","10.1371/journal.pone.0101197","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","http://pub.uni-bielefeld.de/publication/2693625"
2014,1068.47,2639698,"Hoffman J, Krause ET, Lehmann K, Krüger O. MC1R Genotype and Plumage Colouration in the Zebra Finch (Taeniopygia guttata): Population Structure Generates Artefactual Associations. <em>PLoS ONE</em>. 2014;9(1):e86519.","10.1371/journal.pone.0086519","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","http://pub.uni-bielefeld.de/publication/2639698"
2014,1240.00,2659778,"Komati Reddy G, Wendisch VF. Characterization of 3-phosphoglycerate kinase from *Corynebacterium glutamicum* and its impact on amino acid production. <em>BMC Microbiology</em>. 2014;14:54.","10.1186/1471-2180-14-54","Springer Science + Business Media","BMC Microbiol","1471-2180","NA","http://pub.uni-bielefeld.de/publication/2659778"
2014,1048.00,2660085,"Sattler S, Mehlkop G, Graeff P, Sauer C. Evaluating the drivers of and obstacles to the willingness to use cognitive enhancement drugs: the influence of drug characteristics, social environment, and personal characteristics. <em>Substance Abuse Treatment, Prevention, and Policy</em>. 2014;9(1):8.","10.1186/1747-597X-9-8","Springer Science + Business Media","Subst Abuse Treat Prev Policy","1747-597X","NA","http://pub.uni-bielefeld.de/publication/2660085"
2014,992.00,2677460,"Wang Y, Köster K, Lummer M, Ragg H. Origin of serpin-mediated regulation of coagulation and blood pressure. <em>PLOS ONE</em>. 2014;9(5):e97879.","10.1371/journal.pone.0097879","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","http://pub.uni-bielefeld.de/publication/2677460"
2014,1216.00,2671551,"Greiner J, Grunwald L-M, Müller J, et al. Culture bag systems for clinical applications of adult human neural crest-derived stem cells. <em>Stem Cell Research &amp; Therapy</em>. 2014;5(2):34.","10.1186/scrt422","Springer Science + Business Media","Stem Cell Res Ther","1757-6512","NA","http://pub.uni-bielefeld.de/publication/2671551"
2014,1586.09,2678057,"Schürmann M, Wolff A, Widera D, et al. Interaction of adult human neural crest-derived stem cells with nanoporous titanium surface is sufficient to induce their osteogenic differentiation. <em>Stem Cell Research</em>. 2014;13(1):98–110.","10.1016/j.scr.2014.04.017","Elsevier BV","Stem Cell Research","1873-5061","NA","http://pub.uni-bielefeld.de/publication/2678057"
2014,997.00,2690059,"Ertl V, Pfeiffer A, Schauer-Kaiser E, Elbert T, Neuner F. The Challenge of Living On: Psychopathology and Its Mediating Influence on the Readjustment of Former Child Soldiers. <em>PLoS ONE</em>. 2014;9(7):e102786.","10.1371/journal.pone.0102786","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","http://pub.uni-bielefeld.de/publication/2690059"
2014,1240.00,2672925,"Bucksch J, Inchley J, Hamrik Z, Finne E, Kolip P. Trends in television time, non-gaming PC use and moderate-to-vigorous physical activity among German adolescents 2002–2010. <em>BMC Public Health</em>. 2014;14:351.","10.1186/1471-2458-14-351","Springer Science + Business Media","BMC Public Health","1471-2458","NA","http://pub.uni-bielefeld.de/publication/2672925"
2014,984.00,2677406,"Westerholz J, Schack T, Schütz C, Koester D. Habitual vs Non- Habitual Manual Actions: An ERP Study on Overt Movement Execution. <em>PLoS ONE</em>. 2014;9(4).","10.1371/journal.pone.0093116","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","http://pub.uni-bielefeld.de/publication/2677406"
2014,912.00,2675171,"Samlowski B, Möbius B, Wagner P. Phonetic Detail in German Syllable Pronunciation: Influences of Prosody and Grammar. <em>Frontiers in Psychology</em>. 2014;5(500).","10.3389/fpsyg.2014.00500","Frontiers Media SA","Frontiers in Psychology","1664-1078","NA","http://pub.uni-bielefeld.de/publication/2675171"
2014,1268.00,2689886,"Lerche K, Hallmann A. Stable nuclear transformation of Pandorina morum. <em>BMC Biotechnology</em>. 2014;14(1):65.","10.1186/1472-6750-14-65","Springer Science + Business Media","BMC Biotechnology","1472-6750","NA","http://pub.uni-bielefeld.de/publication/2689886"
2014,1520.00,2698111,"Kress D, Egelhaaf M. Impact of stride-coupled gaze shifts of walking blowflies on the neuronal representation of visual targets. <em>Frontiers in Behavioral Neuroscience</em>. 2014;8.","10.3389/fnbeh.2014.00307","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","http://pub.uni-bielefeld.de/publication/2698111"
2014,1520.00,2694962,"Schwegmann A, Lindemann J, Egelhaaf M. Depth information in natural environments derived from optic flow by insect motion detection system: a model analysis. <em>Frontiers in Computational Neuroscience</em>. 2014;8.","10.3389/fncom.2014.00083","Frontiers Media SA","Front. Comput. Neurosci.","1662-5188","NA","http://pub.uni-bielefeld.de/publication/2694962"
2014,912.00,2691855,"Poth CH, Petersen A, Bundesen C, Schneider WX. Effects of monitoring for visual events on distinct components of attention. <em>Frontiers in Psychology</em>. 2014;5(930).","10.3389/fpsyg.2014.00930","Frontiers Media SA","Frontiers in Psychology","1664-1078","NA","http://pub.uni-bielefeld.de/publication/2691855"
2014,1353.26,2644087,"Pfinder M. Anthropometric and health-related behavioral factors in the explanation of social inequalities in low birth weight in children with prenatal alcohol exposure. <em>International Journal of Environmental Research and Public Health</em>. 2014;11(1):849–865.","10.3390/ijerph110100849","MDPI AG","IJERPH","1660-4601","NA","http://pub.uni-bielefeld.de/publication/2644087"
2014,1068.47,2656289,"Vollmer A-L, Mühlig M, Steil JJ, et al. Robots show us how to teach them: Feedback from robots shapes tutoring behavior during action learning. <em>PLOS ONE</em>. 2014;9(3):e91349.","10.1371/journal.pone.0091349","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","http://pub.uni-bielefeld.de/publication/2656289"
2014,785.40,2665189,"Dahm T, Scalapino DJ. Quasi-particle interference probe of the self-energy. <em>New J. Phys.</em> 2014;16:023003.","10.1088/1367-2630/16/2/023003","IOP Publishing","New J. Phys.","1367-2630","NA","http://pub.uni-bielefeld.de/publication/2665189"
2014,1216.00,2665850,"Bugvi A, Rahat R, Zakar R, et al. Factors associated with non-utilization of child immunization in Pakistan: evidence from the Demographic and Health Survey 2006-07. <em>BMC Public Health</em>. 2014;14(1):232.","10.1186/1471-2458-14-232","Springer Science + Business Media","BMC Public Health","1471-2458","NA","http://pub.uni-bielefeld.de/publication/2665850"
2014,1276.00,2681784,"Oelze M-L, Muthuramalingam M, Vogel MO, Dietz K-J. The link between transcript regulation and de novo protein synthesis in the retrograde high light acclimation response of Arabidopsis thaliana. <em>BMC Genomics</em>. 2014;15(1).","10.1186/1471-2164-15-320","Springer Science + Business Media","BMC Genomics","1471-2164","NA","http://pub.uni-bielefeld.de/publication/2681784"
2014,476.00,2690040,"Fehr A, Razum O. The German government's global health strategy – a strategy also to support research and development for neglected diseases? <em>Global Health Action</em>. 2014;7:1–3.","10.3402/gha.v7.24565","Co-Action Publishing","Global Health Action","1654-9880","1654-9716","http://pub.uni-bielefeld.de/publication/2690040"
2014,1276.00,2671451,"Breitsprecher D, Gherardi E, Bleymüller W, Niemann H. Crystal structure of an engineered YopM-InlB hybrid protein. <em>BMC Structural Biology</em>. 2014;14(1):12.","10.1186/1472-6807-14-12","Springer Science + Business Media","BMC Structural Biology","1472-6807","NA","http://pub.uni-bielefeld.de/publication/2671451"
2014,912.00,2687390,"Heider S, Wolf N, Hofemeier A, Peters-Wendisch P, Wendisch VF. Optimization of the IPP precursor supply for the production of lycopene, decaprenoxanthin and astaxanthin by *Corynebacterium glutamicum*. <em>Frontiers in Bioengineering and Biotechnology</em>. 2014;2.","10.3389/fbioe.2014.00028","Frontiers Media SA","Frontiers in Bioengineering and Biotechnology","2296-4185","NA","http://pub.uni-bielefeld.de/publication/2687390"
2014,1465.00,2689896,"Höfener M, Heinzlmeir S, Kuster B, Sewald N. Probing SH2-domains using Inhibitor Affinity Purification (IAP). <em>Proteome Science</em>. 2014;12(1):41.","10.1186/1477-5956-12-41","Springer Science + Business Media","Proteome Sci","1477-5956","NA","http://pub.uni-bielefeld.de/publication/2689896"
2014,1785.18,2611072,"Rohde M, van Dam L, Ernst MO. Predictability is necessary for closed-loop visual feedback delay adaptation. <em>Journal of Vision</em>. 2014;14(3):4.","10.1167/14.3.4","Association for Research in Vision and Ophthalmology (ARVO)","Journal of Vision","1534-7362","NA","http://pub.uni-bielefeld.de/publication/2611072"
2014,1010.00,2691822,"Bohner G, Schlüter LE. A Room with a Viewpoint Revisited: Descriptive Norms and Hotel Guests' Towel Reuse Behavior. <em>PLoS ONE</em>. 2014;9(8):e104086.","10.1371/journal.pone.0104086","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","http://pub.uni-bielefeld.de/publication/2691822"
2014,928.20,2657177,"Wabnitz P, Gast U, Catani C. Differences in trauma history and psychopathology between PTSD patients with and without co-occurring dissociative disorders. <em>European Journal of Psychotraumatology</em>. 2013;2013(4):21452.","10.3402/ejpt.v4i0.21452","Co-Action Publishing","European Journal of Psychotraumatology","2000-8198","2000-818X","http://pub.uni-bielefeld.de/publication/2657177"
2014,1244.74,2681893,"Szufnarowska J, Rohlfing K, Christine F, Gustaf G. Is ostension any more than attention? <em>Scientific Reports</em>. 2014;4.","10.1038/srep05304","Nature Publishing Group","Scientific Reports","2045-2322","NA","http://pub.uni-bielefeld.de/publication/2681893"
2014,1236.00,2661294,"Rose MA, Damm O, Greiner W, et al. The epidemiological impact of childhood influenza vaccination using live-attenuated influenza vaccine (LAIV) in Germany: predictions of a simulation study. <em>BMC Infectious Diseases</em>. 2014;14(1):40.","10.1186/1471-2334-14-40","Springer Science + Business Media","BMC Infect Dis","1471-2334","NA","http://pub.uni-bielefeld.de/publication/2661294"
2014,800.00,2651935,"Gryzia A, Volkmann T, Brechling A, et al. Crystallographic order and decomposition of [MnIII6CrIII]3+ single-molecule magnets deposited in submonolayers and monolayers on HOPG studied by means of molecular resolved Atomic Force Microscopy (AFM) and Kelvin Probe Force Microscopy in UHV. <em>Nanoscale Research Letters</em>. 2014;9(1):60.","10.1186/1556-276X-9-60","Springer Science + Business Media","Nanoscale Res Lett","1556-276X","NA","http://pub.uni-bielefeld.de/publication/2651935"
2014,912.00,2675079,"Golldack-Brockhausen D, Li C, Mohan H, Probst N. Tolerance to drought and salt stress in plants: Unraveling the signaling networks. <em>Frontiers in Plant Science</em>. 2014;5:151.","10.3389/fpls.2014.00151","Frontiers Media SA","Front. Plant Sci.","1664-462X","NA","http://pub.uni-bielefeld.de/publication/2675079"
2014,1520.00,2676837,"Hofmann V, Geurten B, Sanguinetti-Scheck JI, Gomez-Senna L, Engelmann J. Motor patterns during active electrosensory acquisition. <em>Frontiers in Behavioral Neuroscience</em>. 2014;8.","10.3389/fnbeh.2014.00186","Frontiers Media SA","Frontiers in Behavioral Neuroscience","1662-5153","NA","http://pub.uni-bielefeld.de/publication/2676837"
2014,1087.00,2641830,"Evstigneev M, Reimann P. Thermally Activated Contact Strengthening Explains Nonmonotonic Temperature and Velocity Dependence of Atomic Friction. <em>Physical Review X</em>. 2013;3(4):041020.","10.1103/PhysRevX.3.041020","American Physical Society (APS)","Phys. Rev. X","2160-3308","NA","http://pub.uni-bielefeld.de/publication/2641830"
2014,1520.00,2675090,"Ullrich T, Kern R, Egelhaaf M. Texture-defined objects influence responses of blowfly motion-sensitive neurons under natural dynamical conditions. <em>Frontiers in Integrative Neuroscience</em>. 2014;8:34.","10.3389/fnint.2014.00034","Frontiers Media SA","Front. Integr. Neurosci.","1662-5145","NA","http://pub.uni-bielefeld.de/publication/2675090"
