"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"FU Berlin",2019,6690,"10.3366/edinburgh/9781474451567.001.0001",FALSE,"Edinburgh University Press","A Monument to Medieval Syrian Book Culture","978-1-4744-5156-7","978-1-4744-5156-7","978-1-4744-7683-6",NA,TRUE,FALSE
"FU Berlin",2019,3570,"10.14361/9783839447628",FALSE,"transcript Verlag","The Politics of Affective Societies","978-3-8394-4762-8",NA,"978-3-8394-4762-8",NA,TRUE,TRUE
"FU Berlin",2020,9412.61,"10.1007/978-3-030-37081-7",FALSE,"Springer International Publishing","Stochastic Discounted Cash Flow","978-3-030-37080-0","978-3-030-37080-0","978-3-030-37081-7","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"FU Berlin",2019,9912.7,"10.1007/978-3-030-20103-6",FALSE,"Springer International Publishing","The Brownian Motion","978-3-030-20102-9","978-3-030-20102-9","978-3-030-20103-6","https://creativecommons.org/licenses/by/4.0",TRUE,TRUE
"FU Berlin",2019,8778,"10.24921/2020.94115939",FALSE,"Carl Grossmann","Fälle zum Verwaltungsrecht","978-3-941159-39-6","978-3-941159-39-6",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,TRUE
"FU Berlin",2020,5704.82,"10.1007/978-3-030-21629-0",FALSE,"Springer International Publishing","Taking the EU to Court","978-3-030-21628-3","978-3-030-21628-3","978-3-030-21629-0","https://creativecommons.org/licenses/by/4.0",TRUE,TRUE
"FU Berlin",2020,5800,"10.14361/9783839445143",FALSE,"transcript Verlag","Intersektionale Sozialforschung","978-3-8394-4514-3",NA,"978-3-8394-4514-3",NA,TRUE,FALSE
"FU Berlin",2020,1472.66,NA,FALSE,"Archaeopress Publishing Ltd","Approaches to the Analysis of Production Activity at Archaeological Sites","978-1-78969-558-8",NA,NA,NA,FALSE,FALSE
"FU Berlin",2019,2975,"10.14361/9783839447840",FALSE,"transcript Verlag","»Fremde, ferne Welt«","978-3-8394-4784-0",NA,"978-3-8394-4784-0",NA,TRUE,TRUE
"FU Berlin",2019,5972.61,"10.14361/9783839444399",FALSE,"transcript Verlag","Affekt Macht Netz","978-3-8394-4439-9",NA,"978-3-8394-4439-9",NA,TRUE,TRUE
"FU Berlin",2020,6000,"10.14361/9783839451694",FALSE,"transcript Verlag","Flucht und Vertreibung in europäischen Museen","978-3-8394-5169-4",NA,"978-3-8394-5169-4",NA,TRUE,FALSE
"FU Berlin",2019,1250,"10.17885/heiup.766",FALSE,"Heidelberg University Publishing (heiUP)","Reading Objects in the Contact Zone","978-3-96822-049-9",NA,NA,"https://creativecommons.org/licenses/by-sa/4.0",FALSE,TRUE
"FU Berlin",2019,1987.3,NA,FALSE,"Iudicium","Was zu beginnen nicht aufhört","978-3-86205-735-1",NA,"978-3-86205-735-1",NA,FALSE,FALSE
"FU Berlin",2020,7140,"10.1515/9783110722826",FALSE,"De Gruyter","Die Poesie der Dinge","978-3-11-072282-6",NA,"978-3-11-072282-6","http://creativecommons.org/licenses/by/4.0",TRUE,TRUE
"FU Berlin",2020,5800,"10.1515/9783110708479",FALSE,"De Gruyter","Spanisch in Berlin","978-3-11-070847-9","978-3-11-070845-5","978-3-11-070847-9","http://creativecommons.org/licenses/by/4.0",TRUE,TRUE
