"INTACT  YEAR of APC payment","Journal abbreviation","INTACT Journal title","INTACT  is_hybrid (TRUE/FALSE)","INTACT  DOI","INTACT  URL","INTACT  Instiution -Billing address","Currency","Amount before discount","Discount applied","USD/ Article Net Price","Issued amount","INTACT Article Net Price EUR"
2018,,"Frontiers in Physiology-Vascular Physiology",FALSE,"10.3389/fphys.2018.01018","https://www.frontiersin.org/articles/10.3389/fphys.2018.01018/full","Qatar National Library - Education City - P.O. Box 5825 - Al Luqta St - Ar-Rayyan
Doha
Qatar","US Dollar"," $2,655.00 ",199.125,2455.875,"2,455.88","2,872.39"
2018,,"Frontiers in Pediatrics-Pediatric Urology",FALSE,"10.3389/fped.2017.00283","https://www.frontiersin.org/articles/10.3389/fped.2017.00283/full","Qatar National Library - Education City - P.O. Box 5825 - Al Luqta St - Ar-Rayyan
Doha
Qatar","US Dollar"," $1,615.00 ",121.125,1493.875,"1,493.88","1,747.24"
2018,,"Oncology",FALSE,"10.3389/fonc.2018.00257","https://www.frontiersin.org/articles/10.3389/fonc.2018.00257/full","Qatar National Library - Education City - P.O. Box 5825 - Al Luqta St - Ar-Rayyan
Doha
Qatar","US Dollar"," $1,710.00 ",128.25,1581.75,"1,581.75","1,850.01"
2018,,"Immunology",FALSE,"10.3389/fimmu.2018.01769","https://www.frontiersin.org/articles/10.3389/fimmu.2018.01769/full","Qatar National Library - Education City - P.O. Box 5825 - Al Luqta St - Ar-Rayyan
Doha
Qatar","US Dollar"," $1,850.00 ",138.75,1711.25,"1,711.25","2,001.48"
2018,,"Oncology",FALSE,"10.3389/fonc.2018.00211","https://www.frontiersin.org/articles/10.3389/fonc.2018.00211/full","Qatar National Library - Education City - P.O. Box 5825 - Al Luqta St - Ar-Rayyan
Doha
Qatar","US Dollar"," $1,710.00 ",128.25,1581.75,"1,581.75","1,850.01"
2018,,"Immunology",FALSE,"10.3389/fimmu.2018.01985","https://www.frontiersin.org/articles/10.3389/fimmu.2018.01985/full","Qatar National Library - Education City - P.O. Box 5825 - Al Luqta St - Ar-Rayyan
Doha
Qatar","US Dollar"," $2,655.00 ",199.125,2455.88,"2,455.88","2,872.40"
2018,,"Microbiology",FALSE,"10.3389/fmicb.2018.00708","https://www.frontiersin.org/articles/10.3389/fmicb.2018.00708/full","Qatar National Library - Education City - P.O. Box 5825 - Al Luqta St - Ar-Rayyan
Doha
Qatar","US Dollar"," $2,950.00 ",221.25,2728.75,"2,728.75","3,191.55"
2018,,"Oncology",FALSE,"10.3389/fonc.2018.00399","https://www.frontiersin.org/articles/10.3389/fonc.2018.00399/abstract","Qatar National Library - Education City - P.O. Box 5825 - Al Luqta St - Ar-Rayyan
Doha
Qatar","US Dollar"," $1,710.00 ",128.25,1581.75,"1,581.75","1,850.01"
2018,,"Endocrinology",FALSE,"10.3389/fendo.2018.00592","https://www.frontiersin.org/articles/10.3389/fendo.2018.00592/full","Qatar National Library - Education City - P.O. Box 5825 - Al Luqta St - Ar-Rayyan
Doha
Qatar","US Dollar"," $2,490.00 ",186.75,"2,303.25","2,303.25","2,693.88"
2018,,"Physiology",FALSE,"10.3389/fphys.2018.01505","https://www.frontiersin.org/articles/10.3389/fphys.2018.01505/abstract","Qatar National Library - Education City - P.O. Box 5825 - Al Luqta St - Ar-Rayyan
Doha
Qatar","US Dollar"," $2,655.00 ",199.125,2455.88,"2,455.88","2,872.39"
2018,,"Physiology",FALSE,"10.3389/fphys.2018.01464","https://www.frontiersin.org/articles/10.3389/fphys.2018.01464/abstract","Qatar National Library - Education City - P.O. Box 5825 - Al Luqta St - Ar-Rayyan
Doha
Qatar","US Dollar"," $2,950.00 ",221.25,2728.75,"2,728.75","3,191.55"
