"APC paid (actual currency) including VAT if charged","APC paid (£) including VAT (calculated)","APC paid (£) including VAT if charged","Currency of APC","DOI","Date of APC payment","Date of initial application by author","ISSN0","Institution","Journal","Licence","PubMed Central (PMC) ID","PubMed ID","Publisher","TCO year","Type of publication","Drop?","Year of publication","Article title","doi","similarity"
"","","1738.35","","","2014-04-28","2014-02-24","","Bangor University","International Journal of Corpus Linguistics","CC BY","","","John Benjamins Publishing Company","2014","","0","","Formulaic Sequences in Native and Non-native Argumentative Writing in German: A Corpus-driven Comparison","10.1075/ijcl.20.4.04jaw","0.8444444444444444"
"","","","","","","2014-12-10","","University of Bath","Proc. 2015 ACM/IEEE International Conference on Human-Robot Interaction (HRI2015)","","","","ACM","2014","Journal Article/Review","0","","Shaking Hands and Cooperation in Tele-present Human-Robot Negotiation","10.1145/2696454.2696490","1.0"
"","","","","","","2014-11-06","1361-648X","University of Bath","Journal of Physics: Condensed Matter","","","","IOP Publishing","2014","Journal Article/Review","0","","Networks under pressure:The development of \textit{in situ} high-pressure neutron diffraction for glassy and liquid materials","10.1088/0953-8984/27/13/133201","0.95"
"","","","","","","2014-11-27","0957-0233","University of Bath","Measurement Science and Technology","","","","IOP Publishing","2014","Journal Article/Review","0","","Uncertainty Evaluation Method for Axi-Symmetric Measurement Machines","10.1051/ijmqe/2016011","1.0"
"1851","1875","1875","EUR","","","","0947-6539","University of Bath","Chemistry - A European Journal","","","","Wiley-Blackwell","2014","","0","","Solid State Interconversions: Unique 100% Reversible Transformations between the Ground and Metastable States in Single-crystals of a Series of Nickel (II)Complexes","10.1002/chem.201302053","0.9671641791044776"
"1351.5","1351.5","1351.5","GBP","","2014","2014-05-07","","University of Birmingham","Journal of Neuroengineering and Rehabilitation","","","","Springer Nature","2014","Journal Article/Review","0","","Auditory cueing effects on kinematics of gait after hemiparetic stroke","",""
"945.6","945.6","945.6","GBP","","2014","2014-06-16","","University of Birmingham","Nursing Open","","","","Wiley-Blackwell","2014","Journal Article/Review","0","","What are health professionals' intentions toward using research in clinical practice: a systematic review and narrative synthesis","10.1002/nop2.40","0.8975265017667845"
"5040","3324.86","3324.86","USD","","2014","2014-07-01","","University of Birmingham","Journal of Visualized Experiments","","","","JoVE Corporation","2014","Journal Article/Review","0","","Modulating cognition using transcranial direct current stimulation of the cerebellum","10.3791/52302","1.0"
"1416","1416","1416","GBP","","2014","2014-07-15","","University of Birmingham","Clinical Ophthalmology","","","","Dove Medical Press","2014","Journal Article/Review","0","","Social deprivation as a risk factor for late presentation of proliferative diabetic retinopathy","10.2147/opth.s73272","1.0"
"1162.8","1162.8","1162.8","GBP","","2014","2014-08-11","","University of Birmingham","Pilot and Feasibility Studies","","","","Springer Nature","2014","Journal Article/Review","0","","A randomised controlled trial of family and social network intervention for young people who misuse alcohol and drugs: a feasibility study (Y-SBNT)","10.1186/s40814-015-0004-4","0.8837209302325582"
"2304","0","0","EUR","","2014","2014-09-26","","University of Birmingham","Systematic Reviews","","","","Springer Nature","2014","Journal Article/Review","0","","Meta-analysis of test accuracy studies: an exploratory method for investigating the impact of missing thresholds","10.1186/2046-4053-4-12","1.0"
"166.8","166.8","166.8","GBP","","2014","2014-09-29","","University of Birmingham","PeerJ","","","","PeerJ","2014","Journal Article/Review","0","","X-Ray Synchroton Microtomoghraphy of a silifcified Jurassic Cheirolepidiacea cone: revealing and reconstructing the internal structure of an extinct conifer","",""
"1351.5","1351.5","1351.5","GBP","","2014","2014-09-30","","University of Birmingham","BMC Health Service Research","","","","Springer Nature","2014","Journal Article/Review","0","","A critique of the design, implementation, and delivery of a culturally-tailored self-management education intervention: a mixed methods evaluation","10.1186/s12913-015-0712-8","0.9310344827586207"
