Institution,Period,EURO,DOI,Publisher,Journal,ISSN.1,ISSN.2,base.url,record.id
Technische Universität München,2013,151.98,NA,European Scientific Institute,European Scientific Journal,1857-7431,NA,NA,NA
Technische Universität München,2013,142.57,10.1107/S1600536813029759,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,589.05,10.1088/1367-2630/15/11/115004,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,1757.90,10.3390/s131115747,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,1344.70,10.1002/phy2.165,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,130.82,10.1107/S1600536813032510,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,1178.10,10.1088/1367-2630/15/12/123016,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,804.24,10.4172/2167-1044.1000143,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,1470.84,10.1186/1471-2393-13-151,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,1447.04,10.1186/1471-2202-14-94,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,1908.76,10.1186/gb-2013-14-9-r103,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,1542.24,10.1186/1477-7819-11-241,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,1442.28,10.1186/1471-2334-13-481,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,837.76,10.1186/1556-276X-8-339,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,799.68,10.1186/2190-4715-25-31,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,1442.28,10.1186/1471-2180-13-276,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,799.68,10.1186/1756-0500-6-514,NA,NA,NA,NA,NA,NA
Technische Universität München,2013,1428.00,10.1186/1471-2202-14-150,NA,NA,NA,NA,NA,NA
