Institution;Period;EURO;DOI;Publisher;Journal;ISSN.1 
Technische Universität Dortmund;2016;"952,00";10.17645/si.v4i3.546;Cogitatio;Social Inclusion;2183-2803
Technische Universität Dortmund;2016;"143,66";10.1107/S2414314616006970;International Union of Crystallography;IUCR Data;2414-3146
Technische Universität Dortmund;2016;"2232,50";10.1364/OE.24.012442;OSA Optical Society of America;Optics Express;1094-4087
Technische Universität Dortmund;2016;"2000,00";10.1002/open.201600048;Wiley ;ChemistryOpen;2191-1363
Technische Universität Dortmund;2016;"1617,93";10.1155/2016/9605450;Hindawi;Advances in Materials Science and Engineering;1687-8434
Technische Universität Dortmund;2016;"1713,60";10.1002/open.201600092;Wiley ;ChemistryOpen;2191-1363
Technische Universität Dortmund;2016;"400,00";;sub\urban e.V.;suburban : zeitschrift für kritische stadtforschung;2197-2567
Technische Universität Dortmund;2016;"200,00";;sub\urban e.V.;suburban : zeitschrift für kritische stadtforschung;2197-2567
Technische Universität Dortmund;2016;"400,00";;sub\urban e.V.;suburban : zeitschrift für kritische stadtforschung;2197-2567
Technische Universität Dortmund;2016;"2000,00";10.3389/fpsyg.2016.01939;;Frontiers in Psychology;1664-1078
Technische Universität Dortmund;2016;"1467,27";10.1038/ncomms11540;Springer Nature;Nature Communications;2041-1723
