"Kustantaja","Nimeke","Hinta (EUR)","DOI"
"Cambridge University Press","Writing Mobile Lives, 1500-1700",6230,"https://doi.org/10.1017/9781009180726"
"Brill","The Eudaimonist Ethics of al-Fārābī and Avicenna",8000,"https://doi.org/10.1163/9789004506916"
"Brill","War Traditions from the Qumran Caves",8000,"https://doi.org/10.1163/9789004512061"
"Brill","Shipwrecks, Legal Landscapes and Mediterranean Paradigms",8000,"https://doi.org/10.1163/9789004515802"
"Taylor&Francis","Debating the War in Ukraine",6600,"https://doi.org/10.4324/9781003375326"
"Taylor&Francis","A Cultural Approach to Populism",4620,"https://doi.org/10.4324/9781003267539"
"Taylor&Francis","Studying Complex Interactions and Outcomes Through Qualitative Comparative Analysis",3300,"https://doi.org/10.4324/9781003095101"
"Taylor&Francis","Materiality in Modernist Short Fiction",6000,"https://doi.org/10.4324/9781003156499"
"Taylor&Francis","The Paradoxes of Interculturality",6600,"https://doi.org/10.4324/9781003371052"
"Taylor&Francis","Law, Ecology, and the Management of Complex Systems",12000,"https://doi.org/10.4324/9781003197829"
"Brill","Teacher's Professional Ethics",2800,"https://doi.org/10.1163/9789004532649"
