"institution","doi",period,"is_hybrid",invoice amount,"invoice currency",effective payment chf,effective payment euro,share paid by snsf chf,share paid by snsf euro,"journal name",rate chf-euro,"share paid by other instiution euro","other institution is probably","snsf grant"
"SNSF","10.1038/ncomms8494",2015,"FALSE",3700.00,"EUR",,3700.00,2867.40,2684.54,"Nature Communications",1.0681,"1015.46","UniFR","31003A_156764 "
"SNSF","10.1038/ncomms9675",2015,"FALSE",3700.00,"EUR",,3700.00,1088.40,1018.99,"Nature Communications",1.0681,"2681.01","PSI","200021_138068"
"SNSF","10.3389/fpsyg.2015.01691",2015,"FALSE",1539.00,"USD",,1416.00,478.20,447.70,"Frontiers in Psychology",1.0681,"968.30","UniGE","320030_144187 "
"SNSF","10.1126/sciadv.1600432",2016,"FALSE",3105.00,"USD",,2857.00,1563.10,1433.92,"Science Advances",1.0901,"1423.08","immigrationlab.org","100017_159820"
"SNSF","10.15252/msb.20145247",2014,"FALSE",3810.00,"USD",3653.35,3008.00,3000.00,2469.89,"Molecular Systems Biology",1.2146,"538.11","UniL","310030B_141181 "
"SNSF","10.1016/j.celrep.2015.01.061",2015,"FALSE",5000.00,"USD",3164.18,2962.00,3000.00,2808.69,"Cell Reports",1.0681,"153.31","UniGE","31003A_140940 "
"SNSF","10.1016/j.celrep.2015.01.063",2015,"FALSE",5000.00,"USD",5340.60,5000.00,3000.00,2808.69,"Cell Reports",1.0681,"2191.31","UniGE","CRSII3_147637"
"SNSF","10.1016/j.celrep.2015.06.051",2015,"FALSE",5000.00,"USD",4952.03,4636.00,3000.00,2808.69,"Cell Reports",1.0681,"1827.31","Friedrich Miescher Institute","31003A_155940 "
"SNSF","10.1038/ncomms8837",2015,"FALSE",3700.00,"EUR",4297.58,4024.00,3000.00,2808.69,"Nature Communications",1.0681,"1215.31","ETHZ","CRSII2-141843"
"SNSF","10.1038/ncomms9141",2015,"FALSE",3700.00,"EUR",3981.94,3728.00,3000.00,2808.69,"Nature Communications",1.0681,"919.31","UZH","CRSII3_154488"
"SNSF","10.1038/ncomms9757",2015,"FALSE",3700.00,"EUR",4077.05,3817.00,3000.00,2808.69,"Nature Communications",1.0681,"1008.31","ETHZ","200021_150046"
"SNSF","10.1038/ncomms9892",2015,"FALSE",3700.00,"EUR",4323.67,4048.00,3000.00,2808.69,"Nature Communications",1.0681,"1239.31","UniGE","200020_150079"
"SNSF","10.3791/53188",2015,"TRUE",4200.00,"USD",4273.92,4001.00,3000.00,2808.69,"Journal of visualized experiments",1.0681,"1192.31","CHUV","200021_140230"
"SNSF","10.3791/54193",2015,"TRUE",4200.00,"USD",4221.84,3953.00,3000.00,2808.69,"Journal of visualized experiments",1.0681,"1144.31","EMPA","200021_160174"
"SNSF","10.1038/lsa.2016.74",2016,"FALSE",3000.00,"EUR",3400.85,3120.00,3000.00,2752.07,"Light: Science & Applications",1.0901,"367.93","EPFL","200021L_157132"
