institution,period,euro,doi,journal_full_title,publisher,is_hybrid,issn,url,chf,conversion_rate,snsf_voucher_number,grant_snsf,grant_snsf_related
Swiss National Science Foundation (SNSF),2021-06-30,1685.8226691042046,10.1038/s41598-021-89335-9,Scientific reports,,FALSE,NA,NA,1844.29,1.094,108144 - 10859 - 30.06.2021,P4AC-3_205465,186708
Swiss National Science Foundation (SNSF),2021-06-30,1722.2486288848263,10.2196/preprints.26982,JMIR Protocols,,FALSE,NA,NA,1884.14,1.094,108143 - 10978 - 30.06.2021,40AC-0_206030,167302
Swiss National Science Foundation (SNSF),2021-06-25,866.7550274223034,10.3389/fsufs.2021.645046,"Frontiers in Sustainable Food Systems-Land, Livelihoods and Food Security",Frontiers,FALSE,NA,NA,948.23,1.094,108079 - 10239 - 25.06.2021,PZAC-1_206021,137068
Swiss National Science Foundation (SNSF),2021-06-25,1848.1901279707495,10.1093/scan/nsab075,Social Cognitive and Affective Neuroscience,,FALSE,NA,NA,2021.92,1.094,108080 - 10849 - 25.06.2021,PPAC-1_206023,"183709, 150492"
Swiss National Science Foundation (SNSF),2021-06-25,1977.8610603290676,NA,Current Biology,Elsevier,NA,NA,NA,2163.78,1.094,108093 - 10823 - 25.06.2021,31AC-0_201485,178937
Swiss National Science Foundation (SNSF),2021-06-25,4924.872029250457,10.1038/s41467-021-22587-1,Nature Communications,Springer Nature,FALSE,2041-1723,NA,5387.81,1.094,108078 - 10859 - 25.06.2021,20AC-1_206015,178825
Swiss National Science Foundation (SNSF),2021-06-24,974.2230347349176,NA,Frontiers in Computer Science / Human-Media Interaction,,NA,NA,NA,1065.8,1.094,108064 - 10239 - 24.06.2021,10AC--_206016,175913
Swiss National Science Foundation (SNSF),2021-06-24,1554.5338208409505,10.5194/cp-17-1161-2021,Climate of the Past,,FALSE,NA,NA,1700.66,1.094,108059 - 10754 - 24.06.2021,20AC-1_206014,162444
Swiss National Science Foundation (SNSF),2021-06-24,1636.197440585009,10.2196/24205,JMIR Medical Informatics,BMJ Publishing group LTD,FALSE,2291-9694,NA,1790,1.094,108062 - 10288 - 24.06.2021,40AC-0_206017,183434
Swiss National Science Foundation (SNSF),2021-06-24,1944.9360146252286,10.1186/s12995-021-00312-4,Journal of Occupational Medicine and Toxicology,BioMed Central,FALSE,NA,NA,2127.76,1.094,108063 - 10752 - 24.06.2021,IZAC-0_206019,177067
Swiss National Science Foundation (SNSF),2021-06-24,2341.864716636197,10.3389/fpubh.2021.669463,Frontiers in Public Health,,FALSE,2296-2565,NA,2562,1.094,108061 - 10669 - 24.06.2021,40AC-0_206006,167356
Swiss National Science Foundation (SNSF),2021-06-24,2691.5173674588664,10.3389/fped.2021.639746,Frontiers in Pediatrics,Frontiers,FALSE,NA,NA,2944.52,1.094,108060 - 10239 - 24.06.2021,20AC-1_206018,182602
Swiss National Science Foundation (SNSF),2021-06-23,1086.8372943327238,10.1098/rsos.210098,Royal Society Open Science,,FALSE,NA,NA,1189,1.094,108035 - 1603 - 23.06.2021,20AC-1_206001,178780
Swiss National Science Foundation (SNSF),2021-06-23,1632.2669104204751,10.5194/gmd-14-2691-2021,Geoscientific Model Development,,FALSE,NA,NA,1785.7,1.094,108038 - 10754 - 23.06.2021,20AC-1_206012,172745
Swiss National Science Foundation (SNSF),2021-06-23,2273.3089579524676,10.3389/fpubh.2021.668386,Frontiers in Public Health,,FALSE,2296-2565,NA,2487,1.094,108036 - 10669 - 23.06.2021,40AC-0_206004,167356
Swiss National Science Foundation (SNSF),2021-06-23,2708.4095063985374,10.3389/fmolb.2021.676854,Frontiers in Molecular Biosciences,Frontiers,FALSE,NA,NA,2963,1.094,108037 - 10670 - 23.06.2021,51AC-0_206002,185544
Swiss National Science Foundation (SNSF),2021-06-23,2913.610603290676,10.1038/s42004-021-00536-9,Communications Chemistry,Nature Publishing Group ,FALSE,NA,NA,3187.49,1.094,108040 - 10859 - 23.06.2021,PZAC-2_206011,"190547, 193276"
Swiss National Science Foundation (SNSF),2021-06-18,1181.3528336380257,10.3390/min11040364,Minerals,MDPI,FALSE,NA,NA,1292.4,1.094,107997 - 12347 - 18.06.2021,20AC-1_205950,"191478, 160052"
Swiss National Science Foundation (SNSF),2021-06-18,1435.612431444241,10.3389/fbuil.2021.691553,Frontiers in Built Environment,Frontiers,FALSE,2297-3362,NA,1570.56,1.094,107995 - 10239 - 18.06.2021,20AC-1_205991,"169248, 190535"
